departure_station,POITIERS,QUIMPER,RENNES,ST PIERRE DES CORPS,PARIS MONTPARNASSE,NANCY,PARIS EST,REIMS,NANTES,STRASBOURG,PARIS NORD,LILLE,TOURCOING,ANGOULEME,TOURS,VANNES,ANGERS SAINT LAUD,BREST,LA ROCHELLE VILLE,LAVAL,TOULOUSE MATABIAU,LYON PART DIEU,MARSEILLE ST CHARLES,AIX EN PROVENCE TGV,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,GENEVE,BARCELONA,METZ,ST MALO,DUNKERQUE,PARIS VAUGIRARD,LE CREUSOT MONTCEAU MONTCHANIN,MONTPELLIER,MACON LOCHE,CHAMBERY CHALLES LES EAUX,AVIGNON TGV,GRENOBLE,PERPIGNAN,ARRAS,LE MANS,MULHOUSE VILLE,FRANCFORT,BORDEAUX ST JEAN,BELLEGARDE (AIN),NIMES,TOULON,ZURICH,STUTTGART,BESANCON FRANCHE COMTE TGV,NICE VILLE,LAUSANNE,DOUAI,VALENCE ALIXAN TGV,DIJON VILLE,MARNE LA VALLEE,ITALIE,MADRID,ANNECY,year
BESANCON FRANCHE COMTE TGV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
DIJON VILLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
MULHOUSE VILLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
NIMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
TOULON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
ITALIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
LE MANS,0,0,0,0,26118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
METZ,0,0,0,0,0,0,19986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
ST PIERRE DES CORPS,0,0,0,0,26526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
PARIS NORD,0,0,0,0,0,0,0,0,0,0,0,39420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17244,0,0,0,0,0,0,0,0,20010,0,0,0,0,0,0,0,0,0,0,0,0,12690,0,0,0,0,0,0,2018
