year,stat,degrees_celsius
1989,minimum,6.5
1990,maximum,19.3
1990,median,11.3
1990,minimum,5.5
1991,maximum,18.4
1991,median,10.350000000000001
1991,minimum,4.9
1992,maximum,17.7
1992,median,9.5
1992,minimum,4.7
1993,maximum,16.5
1993,median,10
1993,minimum,6
1994,maximum,19.1
1994,median,9.850000000000001
1994,minimum,5.2
1995,maximum,21.3
1995,median,12
1995,minimum,2.3
1996,maximum,19.2
1996,median,10.55
1996,minimum,3.1
1997,maximum,20.8
1997,median,11.100000000000001
1997,minimum,3
1998,maximum,18.1
1998,median,10.45
1998,minimum,5.7
1999,maximum,19.5
1999,median,11.25
1999,minimum,5.7
2000,maximum,18.5
2000,median,10.350000000000001
2000,minimum,5.3
2001,maximum,18.9
2001,median,11.649999999999999
2001,minimum,4.2
2002,maximum,18.6
2002,median,11.100000000000001
2002,minimum,6.5
2003,maximum,20.5
2003,median,10.85
2003,minimum,5.1
2004,maximum,19.3
2004,median,11.25
2004,minimum,6.1
2005,maximum,18.5
2005,median,12.25
2005,minimum,5
2006,maximum,21.2
2006,median,11.75
2006,minimum,4.4
2007,maximum,17.2
2007,median,12.75
2007,minimum,4.4
2008,maximum,17.6
2008,median,10.2
2008,minimum,4.5
2009,maximum,17.7
2009,median,12
2009,minimum,3.8
2010,maximum,18.6
2010,median,11.149999999999999
2010,minimum,0.2
2011,maximum,16.9
2011,median,13.7
2011,minimum,4.8
2012,maximum,18.1
2012,median,10.45
2012,minimum,5.3
2013,maximum,20.9
2013,median,10.55
2013,minimum,4.4
2014,maximum,20
2014,median,12.8
2014,minimum,6.5
2015,maximum,17.3
2015,median,12.05
2015,minimum,5.3
2016,maximum,18.7
2016,median,10.600000000000001
2016,minimum,6.1
2017,maximum,18.4
2017,median,12.399999999999999
2017,minimum,5.5
2018,maximum,21.1
2018,median,11.5
2018,minimum,4.4
