"year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
1957,6.1,6,9.6,9.4,11.2,15.9,17.1,16.3,13.5,11.6,6.2,4.7
1958,4.2,6.2,4.5,7.7,11.7,14.4,16.4,16.1,15.3,11.6,7,5.3
1959,2.9,4.3,7.7,9.9,13.1,15.4,17.3,17.5,15.6,13.2,7.9,6.8
1960,4.7,4.6,6.8,9.3,13.3,16.5,15.6,15.1,13.3,10.6,8.1,4.4
1961,4.5,7.9,8.1,10.4,11.7,15,16.1,16.2,15.6,11.4,6.5,2.7
1962,4.6,5.1,3.2,8.2,10.6,14.3,15.8,15,13.2,10.6,6,2.8
1963,-2.9,-0.3,6.7,9.1,10.9,15.2,15.6,14.8,13.4,11.7,8.7,2.7
1964,3.5,4.8,5.2,8.9,13.1,14.5,16.6,16.2,14.9,9.5,8.3,4.1
1965,4.1,3.5,6,8.7,11.8,14.7,14.7,15.7,12.5,11.3,5.4,5.7
1966,3.3,6.8,7,8.2,11.5,15.6,15.7,15.6,14.2,10.7,5.7,6.9
1967,5.2,5.8,7.5,8.5,10.7,14.8,17.5,16,14.4,11.4,6.1,5.1
1968,5.4,2.3,7,8.4,10.4,15.4,15.8,16.1,14.5,13,7.1,3.8
1969,6.5,2,4.4,8.3,12.1,14.7,17.3,16.7,14.2,13.3,6.6,4.3
1970,4.8,4,4.7,7.4,13,16.4,16,16.2,14.8,11.1,9,4.2
1971,5.3,4.9,5.6,8.2,12,13.1,17.7,16.2,15.1,11.9,6.9,7.1
1972,4.7,5.3,7.4,8.8,10.8,12,16.2,16.1,12.5,11.1,7,6.7
1973,5.1,5.2,6.4,8.1,11.9,15.4,16.3,17.5,14.9,9.6,7.4,5.8
1974,6.8,6.1,5.9,8.5,11.3,14.5,15.5,15.4,12.4,8.5,7.5,8.6
1975,7.6,5.3,5.7,8.9,11,16,18.4,19.1,13.9,10.5,7,5.4
1976,6.5,4.9,5.3,8.5,12.5,17.6,19.2,18.6,14,11,6.9,2.3
1977,3.7,6.5,7.7,8,11.2,12.7,16.8,16.1,13.4,12.1,6.9,6.8
1978,4.3,3.4,7.2,6.8,12.2,14.3,15.5,15.6,14.4,12.2,9.5,4.9
1979,0.9,1.7,5.4,8.4,9.9,14.2,17.2,15.2,13.6,11.7,8.8,6.6
1980,2.6,6.9,5.4,9.6,11.7,14.4,15.2,16.5,15.2,9.5,7.8,5.9
1981,5.1,3.5,8.7,8.7,12,14.1,16.3,18.1,15.8,9.8,8.8,2.9
1982,4.3,6.6,7.4,10.3,13.1,17.1,17.7,16.9,16,11.7,7.6,6
1983,7.6,3,7.3,8,11.3,15.8,21.7,19.2,14.8,11.8,8.6,7.3
1984,5.4,5,6.1,9.8,11.4,16.4,18.6,19,15.2,12.6,8.6,6.8
1985,2.5,3.8,6.2,9.7,12.2,13.9,17.3,15.6,15.9,12,5.9,8.3
1986,5.3,0.2,6.2,6.8,11.8,16.2,16.8,14.7,12.6,12.3,8.8,8
1987,2.3,5.4,5.5,11.6,11.7,14.3,17.5,17.4,15.1,11.1,8,6.9
1988,6.8,6.2,7.8,9.5,13.3,16,15.2,16.2,14.8,12,7.1,8.9
1989,7.5,7.5,8.8,7.9,15.2,16.5,20.1,17.9,16,13,8.2,6.5
